B1,B2,B3,B4,B5,B6,B7,Class
191,313,525,591,1133,1406,1260,1
200,307,526,588,1143,1360,1187,1
172,302,519,601,1117,1335,1191,1
150,294,524,610,1187,1397,1192,1
154,292,535,624,1126,1348,1138,1
169,301,520,612,1124,1321,1166,1
231,339,543,629,1145,1434,1213,1
207,318,514,601,1115,1319,1186,1
224,328,513,609,1058,1358,1227,1
222,321,507,590,1099,1355,1190,1
226,321,507,576,1110,1361,1225,1
219,316,495,561,1030,1281,1158,1
227,331,523,607,1174,1408,1243,1
236,333,511,604,1164,1427,1265,1
228,327,524,606,1185,1448,1224,1
260,372,578,686,1287,1687,1591,1
248,360,564,664,1230,1562,1463,1
269,387,603,723,1348,1708,1608,1
241,353,553,653,1273,1563,1488,1
203,305,496,556,1037,1256,1205,1
201,296,477,521,979,1204,1158,1
208,319,519,583,1076,1280,1219,1
281,383,570,631,1147,1443,1422,1
274,377,569,651,1168,1440,1376,1
276,376,557,629,1121,1388,1343,1
271,372,557,621,1100,1336,1280,1
276,382,567,643,1195,1473,1408,1
258,361,545,613,1096,1357,1309,1
256,360,538,611,1085,1269,1212,1
245,347,542,620,1139,1402,1306,1
258,349,537,596,1075,1352,1298,1
274,374,558,638,1180,1469,1400,1
226,321,507,580,1078,1305,1201,1
249,351,535,604,1100,1308,1235,1
330,431,596,643,1157,1412,1376,1
349,457,620,672,1135,1385,1390,1
210,301,466,506,981,1041,924,1
210,308,453,505,882,1006,871,1
225,315,476,523,934,1102,976,1
228,325,480,524,980,1099,954,1
349,461,635,711,1214,1591,1537,1
334,439,602,665,1115,1437,1389,1
337,441,614,684,1162,1406,1309,1
317,428,614,705,1269,1584,1435,1
336,435,614,682,1174,1502,1415,1
345,457,662,776,1348,1729,1591,1
381,463,599,677,1107,1422,1259,1
365,447,576,631,1002,1110,1022,1
368,446,583,655,1008,1167,1047,1
415,476,571,624,955,1208,1168,1
419,482,561,619,923,1097,1031,1
448,502,604,664,1048,1363,1310,1
360,458,676,779,1466,1714,1582,1
