B1,B2,B3,B4,B5,B6,B7,Class
10603,9758,8852,8694,11195,12382,10649,1
10651,9751,8811,8667,10953,12102,10598,1
10602,9686,8752,8528,10743,11760,10365,1
10717,9864,8921,8722,11475,12366,10305,1
10747,9867,8883,8625,10437,11658,10306,1
10767,9891,8915,8712,10937,12003,10497,1
10677,9815,8855,8639,10517,12152,10983,1
10599,9773,8833,8689,11114,12769,10842,1
10580,9704,8727,8532,10374,11555,10247,1
10612,9746,8787,8616,10803,11980,10401,1
10653,9782,8808,8583,10758,11992,10338,1
10546,9721,8778,8656,11122,12602,10561,1
10253,9364,8356,7946,9328,9634,8934,1
10268,9442,8585,8444,10912,12257,10490,1
10211,9321,8307,7955,9437,10189,9363,1
10203,9355,8391,8075,9856,10889,9563,1
10255,9358,8413,8100,9793,10926,9840,1
10288,9484,8653,8495,11111,13069,10940,1
10191,9335,8373,8031,9871,10651,9576,1
10227,9348,8428,8085,10426,10759,9348,1
10202,9314,8370,8023,10180,10760,9338,1
10237,9373,8421,8122,10083,11005,10038,1
10205,9303,8307,7905,9375,10212,9304,1
10271,9368,8408,8100,9776,10896,9918,1
10176,9295,8310,7928,9392,9871,9055,1
10199,9332,8352,8011,9614,10010,9062,1
10171,9303,8302,7942,9608,10551,9613,1
10196,9330,8361,8059,9989,11503,10211,1
10232,9337,8365,8002,9552,9952,9039,1
10197,9298,8303,7939,9758,10873,9744,1
10194,9304,8328,7961,9488,9976,9038,1
10188,9287,8301,7924,9579,10461,9474,1
10228,9308,8256,7826,9040,9190,8600,1
10174,9284,8216,7797,9135,9594,8726,1
10147,9251,8151,7703,8619,9111,8698,1
10165,9273,8219,7805,9275,9673,8971,1
10129,9215,8106,7666,8944,9135,8341,1
10203,9331,8328,7971,10153,10597,9065,1
10212,9330,8418,8070,11050,11287,9272,1
10163,9282,8313,7907,10664,10459,8894,1
10211,9306,8267,7889,9880,10125,8864,1
10204,9318,8246,7836,9269,9746,9047,1
10182,9281,8198,7782,9171,9552,8797,1
10173,9292,8214,7800,9189,9595,8795,1
10196,9287,8269,7830,9586,9973,8963,1
10138,9259,8305,7923,11108,11232,9040,1
10125,9202,8296,7780,12016,11297,8811,1
10127,9237,8223,7784,10128,9860,8570,1
10177,9311,8265,7909,9906,10327,8857,1
10230,9338,8285,7889,9506,9921,8888,1
10163,9298,8233,7878,10077,10144,8688,1
10189,9282,8358,7973,10800,11309,9451,1
10220,9331,8251,7859,9088,9554,8806,1
10151,9265,8328,7923,10790,11531,9259,1
10107,9194,8263,7783,11820,11382,8755,1
10126,9261,8405,7941,12148,11942,9158,1
10273,9386,8353,7971,9682,9847,9061,1
10255,9371,8348,7999,9735,9967,9240,1
10258,9356,8317,7941,9422,9901,8966,1
10184,9287,8375,8004,11376,11812,9499,1
10143,9253,8320,7935,11080,11677,9416,1
10154,9279,8316,7925,10542,10968,9257,1
10247,9364,8338,7952,9714,10060,8962,1
10216,9320,8303,7911,9883,10282,9301,1
10311,9415,8339,7956,9204,9641,9407,1
10256,9388,8367,8027,9627,10032,9125,1
10259,9367,8358,8032,9898,10358,9082,1
10200,9316,8323,7980,10313,10775,9125,1
10194,9269,8279,7901,10071,10499,9088,1
10210,9297,8219,7850,9168,9694,9026,1
10209,9312,8258,7870,9467,10464,9288,1
10277,9389,8344,7976,9493,9955,9171,1
10492,9434,8457,8168,10109,10630,9411,1
10286,9417,8366,8015,9665,9987,9051,1
10418,9427,8372,8026,9474,9816,9099,1
10434,9454,8474,8185,9746,10301,9458,1
10206,9307,8313,7995,10241,10830,9453,1
10312,9401,8423,8108,10141,10478,9192,1
10204,9342,8355,8057,10088,10692,9349,1
10197,9299,8292,7972,9916,10872,9574,1
10276,9393,8343,7978,9234,9880,9092,1
10184,9323,8313,7995,9565,10203,9214,1
10335,9439,8445,8120,9323,10203,9399,1
10310,9439,8418,8124,9425,10062,9346,1
10520,9400,8360,8047,9375,9750,9105,1
10311,9432,8446,8158,9756,10220,9318,1
10232,9419,8487,8294,10240,10880,9635,1
10210,9362,8435,8221,10294,10740,9443,1
10230,9280,8178,7666,9994,9513,8103,1
10328,9409,8354,7849,11060,10135,8194,1
10436,9587,8600,8316,10672,10734,9231,1
10290,9383,8319,7836,11134,10404,8331,1
10307,9367,8227,7715,9819,9587,8106,1
10398,9519,8471,8179,10422,10309,8872,1
10335,9370,8268,7767,10875,10612,8571,1
10304,9429,8352,7936,10372,10038,8602,1
10266,9300,8131,7603,10131,9576,7919,1
10292,9380,8262,7802,10106,9877,8481,1
10279,9339,8250,7724,10285,10549,8652,1
10224,9269,8109,7560,9970,9516,8119,1
10635,9703,8556,8033,10138,9729,8705,1
10722,9819,8664,8158,9454,9310,8653,1
10747,9841,8719,8237,9333,9442,8917,1
10673,9774,8666,8179,9198,9352,8972,1
10591,9683,8600,8081,9214,9506,9017,1
10580,9673,8558,8077,10315,10531,9765,1
10634,9710,8597,8132,10015,10450,9274,1
10637,9744,8614,8123,9426,9527,8993,1
10739,9838,8739,8277,9903,9795,8937,1
10724,9855,8774,8313,10104,9990,9317,1
10791,9889,8792,8314,10212,10079,8962,1
10736,9855,8784,8331,9665,9878,9226,1
10784,9879,8750,8262,9849,9824,8941,1
10745,9865,8773,8269,9488,9839,9319,1
10701,9791,8653,8149,9375,9685,9128,1
10620,9685,8539,7995,9064,9649,9149,1
10692,9783,8700,8175,9367,9756,9280,1
10762,9863,8715,8194,9423,9699,9217,1
10859,9947,8822,8301,9539,9673,9194,1
10882,10005,8907,8438,9704,9883,9452,1
10820,9949,8849,8397,9716,9866,9414,1
10742,9872,8802,8312,9750,9937,9313,1
10674,9784,8668,8245,9656,9664,8955,1
10681,9779,8654,8155,9516,9617,9047,1
10804,9880,8768,8205,9335,9518,9074,1
10737,9866,8729,8179,9471,9453,8837,1
10821,9958,8850,8380,9709,9638,9156,1
10856,9969,8869,8360,9538,9573,9123,1
10743,9854,8739,8245,9325,9693,9247,1
10707,9792,8725,8247,9461,9815,9260,1
10685,9793,8685,8231,9594,9676,8989,1
10695,9836,8844,8482,10226,10188,9057,1
10549,9739,8849,8767,11400,11354,9789,1
10628,9817,8818,8692,10528,11323,10314,1
10748,9962,8993,8839,10652,11823,10959,1
10795,9988,9057,8903,10622,12124,11412,1
10774,9984,8961,8789,10395,11506,10805,1
10826,10063,9110,8964,10649,11768,11169,1
10761,9989,8933,8750,10644,11664,10554,1
10613,9753,8778,8561,10904,11375,10308,1
10672,9863,8941,8801,10742,11295,10361,1
10829,9984,8882,8431,9926,9600,8848,1
10725,9905,8914,8732,10479,11370,10473,1
10830,9992,8996,8765,10498,11234,10430,1
10949,10155,9201,9026,10971,12065,11182,1
10832,9959,8924,8415,9847,9656,8970,1
10828,9929,8837,8339,9720,9645,9004,1
10833,9929,8875,8411,9727,9723,9124,1
10770,9893,8883,8418,9797,9886,9286,1
10733,9866,8855,8444,9950,9945,9193,1
10717,9876,8955,8629,10834,10457,9222,1
10839,9967,8872,8378,9582,9310,8726,1
10970,10184,9210,9030,10858,11746,10839,1
10838,10052,9059,8843,10668,11674,10719,1
10721,9887,8844,8612,10579,11336,10274,1
10722,9956,8978,8768,10864,11395,10239,1
10919,10029,8992,8549,9990,9499,8817,1
10849,10000,8976,8529,10249,9826,8981,1
10819,9939,8916,8429,10052,9671,8838,1
10851,9960,8916,8475,9980,10009,9233,1
10859,9981,8936,8546,10055,10024,9345,1
10782,9992,9003,8778,10268,10837,10201,1
10807,9971,8971,8552,10213,10216,9393,1
10621,9770,8777,8568,11190,11577,10094,1
10710,9894,8950,8616,10648,10343,9279,1
10782,9942,8939,8556,10208,10047,9239,1
10823,10015,9096,8742,11048,10820,9414,1
10905,10049,9024,8561,10219,10055,9286,1
10867,10021,9014,8559,10158,10059,9320,1
10860,10026,9018,8623,10232,10288,9583,1
10869,10037,9022,8605,10248,10322,9630,1
10857,10020,9056,8664,10513,10332,9481,1
10793,9964,9034,8727,10886,10533,9292,1
10875,10025,8989,8537,10139,9996,9299,1
10497,9551,8406,7828,8588,8570,8367,1
10477,9555,8402,7871,8713,8645,8396,1
10485,9538,8383,7825,8782,8945,8682,1
10456,9546,8407,7924,9150,9597,9081,1
10457,9522,8400,7880,9028,9267,8907,1
10461,9515,8387,7833,8697,8672,8473,1
10442,9495,8387,7889,9083,9590,8989,1
10439,9501,8371,7852,8998,9566,9226,1
10479,9537,8385,7862,8832,9051,8780,1
10499,9567,8429,7898,8813,8854,8581,1
10496,9554,8385,7826,8695,8749,8499,1
10463,9525,8365,7803,8568,8632,8388,1
10481,9553,8452,7973,9436,10052,9477,1
10457,9532,8457,8033,10369,10597,9325,1
10580,9651,8554,8053,9118,9246,9125,1
10500,9580,8433,7913,8969,9427,9140,1
10526,9592,8486,7982,9197,9490,8987,1
10539,9643,8538,8064,9494,9593,9052,1
10575,9621,8502,7947,8902,8989,8682,1
10482,9576,8468,8011,9906,10261,9331,1
10589,9667,8577,8070,9297,9582,9027,1
10518,9599,8459,7921,8999,9552,9202,1
10548,9629,8497,7984,9239,9509,9066,1
10378,9464,8421,7981,11386,11214,9005,1
10620,9700,8610,8088,9348,9449,8977,1
10611,9753,8793,8517,10989,11151,9553,1
10556,9710,8712,8362,10797,10382,8966,1
10568,9706,8696,8336,10669,10545,9214,1
10606,9801,8921,8750,11292,11487,9764,1
10599,9776,8901,8688,11550,11395,9622,1
10556,9619,8464,7924,8900,9164,9006,1
10536,9593,8476,7972,9134,9579,9172,1
10576,9639,8474,7922,8892,9097,8920,1
10563,9632,8507,7996,9135,8994,8707,1
10465,9542,8478,7977,9676,10253,9233,1
10560,9729,8702,8411,10378,10692,9441,1
10589,9738,8728,8469,10607,10725,9386,1
10578,9735,8738,8479,10749,10851,9408,1
10588,9741,8750,8474,10762,10784,9416,1
10629,9835,8959,8799,11687,11630,9805,1
10583,9765,8783,8516,10776,11038,9554,1
10616,9774,8803,8518,10863,10999,9496,1
10614,9786,8764,8451,10597,10864,9556,1
10581,9736,8818,8534,11247,11131,9488,1
10515,9687,8686,8328,10501,10610,9345,1
