B1,B2,B3,B4,B5,B6,B7,Class
309,399,633,626,1228,930,485,Mangrove
263,382,673,695,1353,982,512,Mangrove
268,364,606,608,1245,949,482,Mangrove
220,362,676,690,1379,951,505,Mangrove
253,340,574,562,1200,966,492,Mangrove
251,339,562,534,1164,932,473,Mangrove
264,350,583,570,1213,975,494,Mangrove
290,371,618,622,1251,1025,517,Mangrove
270,369,645,649,1282,972,499,Mangrove
335,419,646,650,1316,883,473,Mangrove
291,377,612,618,1265,939,486,Mangrove
265,357,584,554,1180,860,451,Mangrove
287,373,598,588,1199,906,465,Mangrove
227,328,572,556,1160,949,479,Mangrove
212,303,541,508,1120,881,444,Mangrove
216,321,602,611,1260,969,491,Mangrove
194,311,586,580,1222,987,503,Mangrove
216,305,536,510,1111,903,461,Mangrove
204,289,510,478,1066,928,472,Mangrove
166,267,496,460,1071,957,482,Mangrove
161,303,604,638,1251,971,501,Mangrove
164,307,628,652,1262,973,504,Mangrove
195,327,645,679,1292,969,501,Mangrove
230,351,667,706,1329,919,479,Mangrove
180,324,641,677,1343,916,484,Mangrove
232,359,667,715,1384,876,468,Mangrove
269,386,675,712,1350,841,455,Mangrove
170,311,626,662,1297,913,478,Mangrove
268,364,620,630,1257,1005,511,Mangrove
227,352,638,676,1314,972,498,Mangrove
204,331,637,658,1270,1032,526,Mangrove
229,345,629,658,1293,985,496,Mangrove
164,304,620,636,1145,928,504,Mangrove
191,321,624,657,1282,965,489,Mangrove
164,316,648,677,1291,999,525,Mangrove
94,249,572,566,945,768,443,Mangrove
227,341,614,622,1249,1022,518,Mangrove
253,338,589,603,1236,992,498,Mangrove
189,314,628,647,1283,1000,508,Mangrove
228,337,623,626,1243,985,504,Mangrove
168,305,564,600,808,421,329,Mangrove
217,335,581,617,825,274,281,Mangrove
170,285,569,570,1219,991,498,Mangrove
143,259,529,506,1152,980,495,Mangrove
190,310,633,637,1323,1038,528,Mangrove
202,322,629,644,1307,1032,522,Mangrove
167,289,565,558,1299,1048,538,Mangrove
173,299,600,594,1275,1059,557,Mangrove
173,293,598,589,1262,1050,552,Mangrove
177,300,608,593,1273,1061,548,Mangrove
178,288,550,533,1173,1004,514,Mangrove
189,303,600,593,1258,1026,530,Mangrove
279,403,713,769,1436,1038,542,Mangrove
336,453,764,833,1527,1107,572,Mangrove
261,400,733,777,1497,1125,590,Mangrove
290,429,770,816,1530,1165,613,Mangrove
354,475,809,937,1814,1333,658,Mangrove
309,433,782,883,1777,1455,713,Mangrove
287,419,773,880,1782,1452,705,Mangrove
321,456,801,929,1825,1235,624,Mangrove
314,456,738,865,1657,1178,680,Mangrove
199,328,622,741,1514,1158,676,Mangrove
313,446,716,806,1638,1188,662,Mangrove
236,355,624,713,1554,1149,657,Mangrove
370,491,792,889,1673,1198,651,Mangrove
336,455,730,819,1614,1166,630,Mangrove
309,413,699,804,1648,858,531,Mangrove
330,441,738,865,1640,892,504,Mangrove
353,455,744,850,1798,1161,609,Mangrove
368,484,777,906,1792,1173,662,Mangrove
338,459,687,718,1438,915,589,Mangrove
343,462,707,715,1526,1013,666,Mangrove
348,469,693,728,1339,892,598,Mangrove
