B1,B2,B3,B4,B5,B6,B7,Class
10546,9718,8801,8133,11767,10256,8260,1
10554,9711,8797,8127,11809,10413,8296,1
10560,9730,8808,8102,11815,10245,8213,1
10576,9727,8844,8170,11825,10485,8437,1
10581,9745,8881,8126,12283,10343,8232,1
10560,9729,8874,8051,12312,10184,8096,1
10560,9737,8881,8056,12299,10178,8127,1
10571,9749,8878,8150,12179,10415,8317,1
10600,9741,8875,8108,12231,10363,8277,1
10534,9736,8886,8031,12235,10168,8120,1
10575,9740,8882,8066,12241,10279,8224,1
10589,9736,8874,8062,12318,10182,8116,1
10560,9742,8862,8083,12174,10239,8168,1
10569,9736,8883,8081,12151,10198,8171,1
10588,9755,8883,8081,12264,10193,8179,1
10575,9744,8891,8120,12308,10271,8205,1
10601,9802,8882,8138,12292,10331,8272,1
10589,9766,8868,8129,12181,10208,8208,1
10595,9763,8893,8154,12230,10290,8219,1
10558,9752,8857,8102,12082,10209,8083,1
10605,9787,8908,8171,12299,10400,8277,1
10610,9792,8890,8187,12333,10431,8308,1
10551,9733,8830,8059,12041,10046,7912,1
10615,9819,8908,8198,12394,10457,8317,1
10652,9788,8955,8241,12386,10560,8400,1
10617,9770,8931,8219,12351,10532,8374,1
10557,9721,8889,8111,12119,10191,8085,1
10606,9755,8915,8173,12272,10310,8251,1
10520,9689,8773,8052,11689,10347,8232,1
10523,9682,8791,7993,11822,9915,7952,1
10522,9652,8805,7980,11973,9909,7930,1
10509,9665,8794,7968,11772,9786,7908,1
10537,9678,8801,8013,11723,10057,8083,1
10510,9665,8791,7947,11799,9901,7984,1
10542,9677,8793,7993,11631,9953,8156,1
10546,9672,8792,7992,11621,9841,8033,1
10519,9668,8792,7981,11666,9800,7922,1
10546,9714,8813,8082,11859,10337,8116,1
10531,9719,8787,8076,11951,10443,8134,1
10541,9737,8772,8090,11587,10674,8373,1
10558,9730,8806,8072,11741,10370,8229,1
10557,9738,8851,8114,11967,10435,8273,1
10568,9750,8801,8136,11791,10595,8307,1
10568,9699,8656,8007,10459,8982,7291,1
10541,9690,8651,8037,10430,9111,7393,1
10534,9686,8639,8005,10420,8932,7242,1
10460,9597,8575,7966,10597,9885,8241,1
10549,9699,8656,7989,10470,8970,7310,1
10572,9716,8665,8060,10352,8971,7345,1
10553,9686,8637,8029,10303,8999,7346,1
10475,9610,8588,7951,10623,9778,8155,1
10468,9614,8575,7957,10583,9738,8084,1
10467,9606,8576,7984,10629,9915,8226,1
10455,9606,8564,7929,10519,9710,8146,1
10445,9594,8574,7936,10612,9807,8141,1
10511,9668,8622,8019,10151,8942,7289,1
10549,9682,8641,7989,10248,8733,7143,1
10447,9580,8545,7954,10537,9849,8114,1
10464,9600,8553,7911,10482,9600,8006,1
10554,9690,8662,7989,10499,9043,7334,1
10467,9595,8548,7927,10500,9937,8206,1
10497,9634,8608,7976,10642,9878,8204,1
10474,9606,8563,7931,10570,9832,8207,1
10443,9591,8567,7948,10604,9889,8187,1
10527,9674,8735,7993,11573,10122,7910,1
10519,9682,8729,8033,11594,10282,8049,1
10547,9684,8703,8092,11246,10383,8199,1
10531,9679,8709,8062,11267,10301,8080,1
10542,9682,8717,8119,11242,10431,8246,1
10528,9683,8711,8073,11273,10258,8069,1
10542,9680,8719,8101,11486,10456,8153,1
10567,9677,8743,8096,11632,10380,8044,1
10523,9682,8733,8107,11623,10490,8141,1
10548,9690,8741,8096,11678,10362,8024,1
10592,9723,8738,8040,11016,9308,7439,1
10558,9722,8743,8048,11044,9403,7496,1
10579,9724,8754,8055,11091,9510,7596,1
10580,9734,8752,8069,11083,9444,7513,1
10578,9714,8752,8078,11132,9492,7585,1
10592,9730,8751,8063,11054,9501,7579,1
10591,9736,8761,8101,11102,9476,7603,1
10586,9726,8748,8068,11057,9339,7464,1
10573,9729,8746,8106,10992,9685,7761,1
10570,9727,8746,8090,10976,9406,7527,1
10589,9720,8744,8127,10972,9500,7613,1
10568,9731,8758,8151,11005,9780,7815,1
10464,9639,8666,7976,11280,10090,8307,1
10472,9652,8664,7999,11281,10048,8298,1
10491,9637,8671,7969,11357,9951,8189,1
10479,9641,8650,7996,11198,10280,8481,1
10472,9649,8674,8002,11193,10268,8486,1
10474,9653,8665,7978,11299,10159,8347,1
10502,9646,8658,7998,11158,10240,8466,1
10483,9632,8649,8019,11138,10378,8566,1
10462,9640,8660,8018,11133,10386,8613,1
10512,9663,8689,8007,10644,9873,8259,1
10514,9658,8693,8003,10648,9697,8120,1
10521,9667,8690,8001,10619,9601,8047,1
10513,9653,8667,7956,10482,9756,8203,1
10504,9673,8684,8030,10618,9755,8135,1
10501,9663,8668,7942,10503,9679,8159,1
10487,9661,8685,8020,10572,9834,8218,1
10528,9690,8686,8001,10555,9532,7998,1
10499,9652,8650,7973,10381,9681,8232,1
10527,9670,8663,7994,10400,9578,8085,1
10520,9670,8696,8013,10449,9624,8111,1
10499,9647,8662,7934,10461,9656,8175,1
10493,9651,8659,7970,10880,9965,8416,1
10481,9656,8667,7987,10864,10015,8474,1
10483,9653,8668,7954,10924,10071,8428,1
10512,9649,8656,7966,10889,9915,8381,1
10492,9661,8637,7977,10843,9925,8421,1
10480,9647,8669,7968,10943,9989,8418,1
10499,9644,8638,7951,10865,9882,8354,1
10470,9647,8636,7948,10978,9963,8415,1
10503,9647,8638,7947,10853,9820,8303,1
10476,9662,8647,7965,10921,9894,8363,1
10458,9629,8639,7915,11032,9883,8320,1
10471,9658,8646,7934,10962,9778,8246,1
10444,9629,8851,8108,12681,10497,8117,1
10458,9642,8854,8124,12730,10600,8202,1
10437,9642,8818,8123,12610,10509,8091,1
10460,9643,8852,8081,12727,10515,8083,1
10446,9615,8851,8087,12859,10483,8020,1
10433,9629,8844,8117,12665,10502,8087,1
10462,9621,8849,8074,12900,10512,8022,1
10459,9644,8837,8101,12718,10562,8110,1
10448,9639,8845,8100,12661,10513,8136,1
10462,9603,8472,7907,8912,8258,7441,1
10525,9684,8544,7974,8870,8281,7686,1
10494,9662,8507,7974,9054,8150,7535,1
10464,9607,8470,7908,9180,8201,7399,1
10476,9616,8517,7998,9134,8336,7466,1
10504,9706,8580,8082,9339,8454,7670,1
10514,9689,8567,8034,9055,8448,7764,1
10478,9618,8500,7984,9360,8256,7360,1
10507,9662,8578,8068,9350,8545,7581,1
10503,9676,8594,8096,9523,8681,7761,1
10491,9690,8587,8072,9463,8755,7826,1
10475,9656,8641,8127,10914,8909,7568,1
10469,9602,8666,7884,11439,10150,8156,1
10451,9585,8643,7863,11432,10041,8042,1
10428,9606,8661,7886,11396,10074,8030,1
10464,9614,8662,7917,11412,10354,8319,1
10453,9620,8670,7912,11448,10430,8362,1
10462,9609,8649,7886,11368,10330,8307,1
10486,9616,8646,7862,11435,10156,8125,1
10443,9604,8647,7853,11461,9995,7964,1
10469,9628,8685,7930,11503,10259,8281,1
10471,9614,8646,7891,11305,10299,8314,1
10465,9633,8703,7918,11561,10199,8154,1
10473,9613,8647,7857,11364,10161,8135,1
10503,9715,8791,8120,11159,9685,8183,1
10516,9684,8769,8082,10965,9667,8219,1
10515,9700,8784,8107,11083,9682,8195,1
10516,9714,8786,8111,11023,9690,8246,1
10505,9711,8812,8122,11108,9680,8245,1
10538,9722,8792,8122,11067,9642,8177,1
10516,9715,8800,8121,11118,9816,8333,1
10518,9705,8771,8089,10883,9726,8284,1
10521,9728,8822,8132,11095,9725,8309,1
10503,9681,8694,8056,10575,9981,8583,1
10485,9658,8659,8059,10545,10012,8587,1
10489,9670,8669,8067,10523,10037,8627,1
