B1,B2,B3,B4,B5,B6,B7,Class
9940,9180,8277,8082,8811,9385,8976,1
9925,9171,8255,8056,8740,9214,8872,1
9920,9188,8263,8056,8704,9197,8858,1
9908,9161,8222,7994,8681,9246,8868,1
9962,9161,8279,8104,8891,9447,9064,1
9917,9184,8270,8078,8745,9296,8880,1
9907,9175,8283,8099,8886,9529,9110,1
9921,9148,8246,8032,8759,9219,8873,1
9918,9177,8261,8070,8821,9283,8879,1
9940,9201,8273,8069,8786,9369,8926,1
9752,8990,7948,7633,8057,9755,10134,1
9767,8988,7939,7674,8121,9706,9908,1
9787,9015,8016,7775,8372,10118,10344,1
9765,8966,7952,7620,8085,9628,9982,1
9752,8974,7957,7656,8215,9825,9986,1
9754,8969,7943,7638,8104,9658,9929,1
9727,8983,7953,7628,8092,9847,10111,1
9786,9006,7995,7716,8234,10079,10356,1
9788,8993,7978,7682,8233,9935,10185,1
9733,8987,7988,7723,8280,9824,10129,1
9740,8983,7952,7668,8141,9682,9965,1
9771,9031,8037,7781,8333,10149,10359,1
9802,9029,8029,7798,8480,10251,10340,1
9774,9030,8038,7777,8440,10161,10428,1
9764,8997,8008,7733,8320,10006,10192,1
9758,9011,8014,7726,8281,9954,10296,1
10047,9349,8476,8413,9270,10968,11020,1
10055,9343,8492,8443,9356,10969,11029,1
10089,9350,8515,8451,9391,11188,11200,1
10079,9380,8536,8481,9425,11416,11420,1
9762,8962,7968,7627,8576,9604,9098,1
9751,8981,7963,7606,8458,9410,9014,1
9752,8970,7960,7601,8421,9399,9035,1
9766,8951,7930,7543,8159,9187,8962,1
9773,8973,7965,7576,8277,9335,9064,1
9758,8968,7952,7601,8373,9456,9131,1
9788,8982,7958,7610,8313,9303,9073,1
9755,8993,7974,7647,8414,9406,9145,1
9779,8977,7954,7598,8385,9420,9095,1
9765,8983,8009,7663,8576,9585,9101,1
9750,8977,8004,7674,8577,9497,9022,1
9778,8977,7967,7626,8509,9520,9023,1
9819,9028,8006,7671,8384,9441,9198,1
9842,9049,8040,7763,8308,9437,9510,1
9829,9069,8059,7766,8470,9485,9390,1
9810,9048,8063,7797,8423,9674,9581,1
9833,9071,8045,7779,8286,9560,9620,1
